№	Наименование ККН	ОКПД2	Детализация	Единица измерения ККН	Показатель (характеристика) товара	Требования к значениям показателей				Единица измерения характеристики	Категория	Код КТРУ	Код ККН	Товарная часть	Дата актуализации	Российский товар
					Форма подставки				Круглая (блин)	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Диаметр подставки	30				СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал навершия				Дерево	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Длина навершия	19				СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Форма навершия				Каплевидная	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Диаметр навершия	3,4	4,4			СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Ресурс резьбового элемента навершия (количество циклов свинчивания)	250				-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р 51130-2023; ГОСТ Р 51131-98; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
598	Флажная продукция? тип 9	13.92.29.190	031	ШТ	Вид флага (знамени)				Государственный флаг Российской Федерации	-	Флаги Российской Федерации на флагштоке протокольные (настольные)	13.92.29.190-00000011	13.92.29.190-031	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Вид флажной продукции				Флаг	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					По типу использования				В помещении	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип				Двусторонний	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Вид				Одноштоковый	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Состав комплекта				Флаг, настольный флагшток, состоящий из подставки (основания), штока	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Длина флага			"18; 22"		СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Ширина флага			"12; 15"		СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал флага				Атлас	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Способ крепления флага				Карман	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал штока			"Металл; Латунь"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Цвет штока			"Золотой; Серебряный"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Высота флагштока	30	35			СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Диаметр подставки	5	6			СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Диаметр штока	0,5	0,7			СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал подставки			"Металл; Латунь; Дерево"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Подставка с утяжелителем			"Наличие; Отсутствие"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Форма подставки				Круглая	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Форма навершия			"Остроконечная; Каплевидная"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р 51130-2023; ГОСТ Р 51131-98; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
599	Флажная продукция? тип 10	13.92.29.190	025	ШТ	Вид флага (знамени)				Флаг субъекта Российской Федерации	-	Флаг Санкт-Петербурга	13.92.29.190-00000011	13.92.29.190-025	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Вид флажной продукции				Флаг	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					По типу использования				На открытом воздухе	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип				Односторонний	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Субъект Российской Федерации				Санкт-Петербург	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Длина			"135; 150"		СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Ширина			"90; 100"		СМ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Материал			"Полиэфирный шелк; Оксфорд; Флажная сетка"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Флагшток в комплекте				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Способ крепления			"Карман; Карман, петли - 2 шт.; Карман, петля"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Обшивка по периметру				Наличие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р 51131-98; Закон Санкт-Петербурга от 13.05.2003 N 165-23 ""О детальном описании официальных символов Санкт-Петербурга и порядке их использования""; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
600	Флажная продукция? тип 11	13.92.29.190	032	ШТ	Вид флага (знамени)				Флаг субъекта Российской Федерации	-	Флаги Российской Федерации	13.92.29.190-00000011	13.92.29.190-032	02. Канцелярские товары и офисные принадлежности	30.08.2024	Да
					Вид флажной продукции				Флаг	-				02. Канцелярские товары и офисные принадлежности	30.08.2024	
					По типу использования				В помещении	-				02. Канцелярские товары и офисные принадлежности	30.08.2024	
					Тип				Двусторонний	-				02. Канцелярские товары и офисные принадлежности	30.08.2024	
					Субъект Российской Федерации				Санкт-Петербург	-				02. Канцелярские товары и офисные принадлежности	30.08.2024	
					Длина				150	СМ				02. Канцелярские товары и офисные принадлежности	30.08.2024	
					Ширина				100	СМ				02. Канцелярские товары и офисные принадлежности	30.08.2024	
					Материал				Атлас	-				02. Канцелярские товары и офисные принадлежности	30.08.2024	
					Флагшток в комплекте				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	30.08.2024	
					Способ крепления			"Карман; Карман, петли - 2 шт.; Карман, петля"		-				02. Канцелярские товары и офисные принадлежности	30.08.2024	
					Обшивка по периметру				Наличие	-				02. Канцелярские товары и офисные принадлежности	30.08.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р 51131-98; Закон Санкт-Петербурга от 13.05.2003 N 165-23 ""О детальном описании официальных символов Санкт-Петербурга и порядке их использования""; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	30.08.2024	
601	Флажная продукция? тип 12	13.92.29.190	033	ШТ	Вид флага (знамени)				Государственный флаг Российской Федерации	-	Флаги Российской Федерации	13.92.29.190-00000011	13.92.29.190-033	02. Канцелярские товары и офисные принадлежности	28.02.2025	Да
					Вид флажной продукции				Флаг	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					По типу использования				В помещении	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Тип				Двусторонний	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Длина				150	СМ				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Ширина				100	СМ				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Материал			"Атлас; Сатен"		-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Способ крепления				Карман	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Обшивка по периметру бахромой				Наличие	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Соответствие нормативно-технической документации			"ГОСТ Р 51131-98; Закон Санкт-Петербурга от 13.05.2003 N 165-23 ""О детальном описании официальных символов Санкт-Петербурга и порядке их использования""; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
602	Флажная продукция? тип 13	13.92.29.190	034	ШТ	Вид флага (знамени)				Флаг субъекта Российской Федерации	-	Флаг Санкт-Петербурга	13.92.29.190-00000011	13.92.29.190-034	02. Канцелярские товары и офисные принадлежности	28.02.2025	Да
					Вид флажной продукции				Флаг	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					По типу использования				В помещении	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Тип				Двусторонний	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Субъект Российской Федерации				Санкт-Петербург	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Длина				150	СМ				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Ширина				100	СМ				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Материал			"Атлас; Сатен"		-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Способ крепления				Карман	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Обшивка по периметру бахромой				Наличие	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Соответствие нормативно-технической документации			"ГОСТ Р 51131-98; Закон Санкт-Петербурга от 13.05.2003 N 165-23 ""О детальном описании официальных символов Санкт-Петербурга и порядке их использования""; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
603	Шпагат? тип 1	13.94.11.110	001	БОБ	Материал				Лён	-	Шпагаты льняные		13.94.11.110-001	02. Канцелярские товары и офисные принадлежности	29.07.2022	Да
					Диаметр сечения	1,4	1,5			ММ				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Плотность, единица линейной плотности (килотекс)	1,25	1,5			-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Разрывная нагрузка, килограмм-сила	14	18			-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Вес	0,5				КГ				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Длина намотки	300				М				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Соответствие нормативно-технической документации			"ГОСТ 17308-88; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
604	Шпагат? тип 2	13.94.11.110	077	БОБ	Материал				Джут	-	Шпагаты джутовые		13.94.11.110-077	02. Канцелярские товары и офисные принадлежности	29.07.2022	Да
					Диаметр сечения	1,4	1,5			ММ				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Плотность, единица линейной плотности (килотекс)				1,2	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Разрывная нагрузка, килограмм-сила	10	16			-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Вес	0,12	0,2			КГ				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Длина намотки	100	165			М				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Соответствие нормативно-технической документации			"ГОСТ 17308-88; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
605	Шпагат? тип 3	13.94.11.110	007	БОБ	Материал				Джут	-	Шпагаты джутовые		13.94.11.110-007	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Диаметр сечения	1,3	3			ММ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Плотность, единица линейной плотности (килотекс)	1,2	1,68			-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Разрывная нагрузка, килограмм-сила	13	20			-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Вес				1	КГ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Длина намотки	595	800			М				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ 17308-88; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
606	Лента обвязочная? тип 1	13.94.12.130	001	БОБ	Назначение				Для прошивки документов	-	Ленты обвязочные для прошивки документов		13.94.12.130-001	02. Канцелярские товары и офисные принадлежности	30.09.2021	Да
					Материал				Полиэстер	-				02. Канцелярские товары и офисные принадлежности	30.09.2021	
					Диаметр сечения				6	ММ				02. Канцелярские товары и офисные принадлежности	30.09.2021	
					Разрывная нагрузка, килограмм-сила				105	-				02. Канцелярские товары и офисные принадлежности	30.09.2021	
					Длина намотки	25	35			М				02. Канцелярские товары и офисные принадлежности	30.09.2021	
					Цвет			"Красный; Синий; Белый; Оранжевый"		-				02. Канцелярские товары и офисные принадлежности	30.09.2021	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	30.09.2021	
607	Салфетки сменные для губок-стирателей? тип 1	13.95.10.190	001	УПАК	Вид материала				Нетканый материал (спанбонд)	-	Салфетки сменные для губок-стирателей в упаковке		13.95.10.190-001	02. Канцелярские товары и офисные принадлежности	30.04.2023	Да
					Тип использования				Многоразовое	-				02. Канцелярские товары и офисные принадлежности	30.04.2023	
